Word, Democrat, Republican
report,0,13,1.0987727481594776
defeat,0,13,1.0987727481594776
tuesday,0,13,1.0987727481594776
set,0,13,1.0987727481594776
person,0,13,1.0987727481594776
several,0,13,1.0987727481594776
else,0,13,1.0987727481594776
recent,0,13,1.0987727481594776
aliens,0,13,1.0987727481594776
september,0,13,1.0987727481594776
name,0,13,1.0987727481594776
august,0,13,1.0987727481594776
building,0,13,1.0987727481594776
rather,0,13,1.0987727481594776
education,0,13,1.0987727481594776
middle,0,13,1.0987727481594776
dues,0,13,1.0987727481594776
explained,0,13,1.0987727481594776
russia,0,13,1.0987727481594776
isil,0,13,1.0987727481594776
here,0,13,1.0987727481594776
regime,0,13,1.0987727481594776
history,0,13,1.0987727481594776
says,0,13,1.0987727481594776
real,0,13,1.0987727481594776
further,0,13,1.0987727481594776
increase,0,13,1.0987727481594776
elected,0,13,1.0987727481594776
york,0,13,1.0987727481594776
without,0,13,1.0987727481594776
shot,0,13,1.0987727481594776
minister,0,12,1.0952947546087777
minutes,0,12,1.0952947546087777
actually,0,12,1.0952947546087777
guy,0,12,1.0952947546087777
spent,0,12,1.0952947546087777
foreign,0,12,1.0952947546087777
health,0,12,1.0952947546087777
sen,0,12,1.0952947546087777
system,0,12,1.0952947546087777
each,0,12,1.0952947546087777
place,0,12,1.0952947546087777
force,0,12,1.0952947546087777
michigan,0,12,1.0952947546087777
able,0,12,1.0952947546087777
lives,0,12,1.0952947546087777
among,0,12,1.0952947546087777
rule,0,12,1.0952947546087777
clear,0,12,1.0952947546087777
information,0,12,1.0952947546087777
looking,0,12,1.0952947546087777
help,0,12,1.0952947546087777
reported,0,12,1.0952947546087777
life,0,12,1.0952947546087777
far,0,12,1.0952947546087777
itself,0,12,1.0952947546087777
chairman,0,12,1.0952947546087777
give,0,12,1.0952947546087777
calling,0,12,1.0952947546087777
service,0,12,1.0952947546087777
whether,0,12,1.0952947546087777
streets,0,12,1.0952947546087777
establishment,0,12,1.0952947546087777
course,0,12,1.0952947546087777
message,0,12,1.0952947546087777
kingmakers,0,12,1.0952947546087777
fact,0,12,1.0952947546087777
politics,0,12,1.0952947546087777
social,0,12,1.0952947546087777
gas,0,12,1.0952947546087777
warned,0,12,1.0952947546087777
push,0,12,1.0952947546087777
costs,0,12,1.0952947546087777
reasons,0,12,1.0952947546087777
israeli,0,12,1.0952947546087777
key,0,11,1.0913976671594126
near,0,11,1.0913976671594126
visit,0,11,1.0913976671594126
five,0,11,1.0913976671594126
look,0,11,1.0913976671594126
himself,0,11,1.0913976671594126
am,0,11,1.0913976671594126
read,0,11,1.0913976671594126
business,0,11,1.0913976671594126
given,0,11,1.0913976671594126
forward,0,11,1.0913976671594126
problem,0,11,1.0913976671594126
close,0,11,1.0913976671594126
total,0,11,1.0913976671594126
working,0,11,1.0913976671594126
interview,0,11,1.0913976671594126
went,0,11,1.0913976671594126
job,0,11,1.0913976671594126
everyone,0,11,1.0913976671594126
keep,0,11,1.0913976671594126
results,0,11,1.0913976671594126
months,0,11,1.0913976671594126
said.the,0,11,1.0913976671594126
anyone,0,11,1.0913976671594126
personal,0,11,1.0913976671594126
sykes,0,11,1.0913976671594126
voter,0,11,1.0913976671594126
sure,0,11,1.0913976671594126
result,0,11,1.0913976671594126
taliban,0,11,1.0913976671594126
bank,0,11,1.0913976671594126
freedom,0,11,1.0913976671594126
matter,0,11,1.0913976671594126
forced,0,11,1.0913976671594126
making,0,11,1.0913976671594126
nominee,0,11,1.0913976671594126
thousands,0,11,1.0913976671594126
senate,0,11,1.0913976671594126
hours,0,11,1.0913976671594126
staff,0,11,1.0913976671594126
left-wing,0,11,1.0913976671594126
half,0,11,1.0913976671594126
described,0,11,1.0913976671594126
today,0,11,1.0913976671594126
director,0,11,1.0913976671594126
black,0,11,1.0913976671594126
progressive,0,10,1.0869800389345603
massie,0,10,1.0869800389345603
rally,0,10,1.0869800389345603
process,0,10,1.0869800389345603
pay,0,10,1.0869800389345603
backed,0,10,1.0869800389345603
important,0,10,1.0869800389345603
allowed,0,10,1.0869800389345603
john,0,10,1.0869800389345603
tried,0,10,1.0869800389345603
taking,0,10,1.0869800389345603
adding,0,10,1.0869800389345603
possible,0,10,1.0869800389345603
egyptians,0,10,1.0869800389345603
cash,0,10,1.0869800389345603
serve,0,10,1.0869800389345603
supporting,0,10,1.0869800389345603
riots,0,10,1.0869800389345603
agency,0,10,1.0869800389345603
night,0,10,1.0869800389345603
province,0,10,1.0869800389345603
interests,0,10,1.0869800389345603
lot,0,10,1.0869800389345603
egypt,0,10,1.0869800389345603
thing,0,10,1.0869800389345603
conference,0,10,1.0869800389345603
teachers,0,10,1.0869800389345603
outside,0,10,1.0869800389345603
australia,0,10,1.0869800389345603
failed,0,10,1.0869800389345603
getting,0,10,1.0869800389345603
deployed,0,10,1.0869800389345603
detention,0,10,1.0869800389345603
repeatedly,0,10,1.0869800389345603
example,0,10,1.0869800389345603
late,0,10,1.0869800389345603
big,0,10,1.0869800389345603
department,0,10,1.0869800389345603
particularly,0,10,1.0869800389345603
federal,0,10,1.0869800389345603
based,0,10,1.0869800389345603
violence,0,10,1.0869800389345603
nations,0,10,1.0869800389345603
winner,0,10,1.0869800389345603
strong,0,10,1.0869800389345603
seems,0,10,1.0869800389345603
continue,0,10,1.0869800389345603
prices,0,10,1.0869800389345603
troops,0,10,1.0869800389345603
ellison,0,10,1.0869800389345603
voted,0,10,1.0869800389345603
democrat,0,10,1.0869800389345603
instead,0,10,1.0869800389345603
everything,0,10,1.0869800389345603
done,0,10,1.0869800389345603
young,0,10,1.0869800389345603
court,0,10,1.0869800389345603
investigation,0,9,1.0819008072126788
south,0,9,1.0819008072126788
families,0,9,1.0819008072126788
often,0,9,1.0819008072126788
japan,0,9,1.0819008072126788
university,0,9,1.0819008072126788
centers,0,9,1.0819008072126788
mother,0,9,1.0819008072126788
behind,0,9,1.0819008072126788
areas,0,9,1.0819008072126788
become,0,9,1.0819008072126788
gdp,0,9,1.0819008072126788
agents,0,9,1.0819008072126788
violent,0,9,1.0819008072126788
nov,0,9,1.0819008072126788
fear,0,9,1.0819008072126788
promised,0,9,1.0819008072126788
despite,0,9,1.0819008072126788
heavy,0,9,1.0819008072126788
cities,0,9,1.0819008072126788
obamacare,0,9,1.0819008072126788
decided,0,9,1.0819008072126788
thought,0,9,1.0819008072126788
order,0,9,1.0819008072126788
stage,0,9,1.0819008072126788
january,0,9,1.0819008072126788
care,0,9,1.0819008072126788
longer,0,9,1.0819008072126788
killed,0,9,1.0819008072126788
adds,0,9,1.0819008072126788
nrcc,0,9,1.0819008072126788
using,0,9,1.0819008072126788
capital,0,9,1.0819008072126788
direct,0,9,1.0819008072126788
conversation,0,9,1.0819008072126788
chose,0,9,1.0819008072126788
subject,0,9,1.0819008072126788
conservatives,0,9,1.0819008072126788
ballot,0,9,1.0819008072126788
gulen,0,9,1.0819008072126788
role,0,9,1.0819008072126788
began,0,9,1.0819008072126788
coming,0,9,1.0819008072126788
eastern,0,9,1.0819008072126788
words,0,9,1.0819008072126788
together,0,9,1.0819008072126788
additional,0,9,1.0819008072126788
workers,0,9,1.0819008072126788
petition,0,9,1.0819008072126788
district,0,9,1.0819008072126788
saw,0,9,1.0819008072126788
accused,0,9,1.0819008072126788
stated,0,9,1.0819008072126788
west,0,9,1.0819008072126788
good,0,9,1.0819008072126788
soon,0,9,1.0819008072126788
times,0,9,1.0819008072126788
meet,0,9,1.0819008072126788
wisconsin,0,9,1.0819008072126788
doing,0,9,1.0819008072126788
heard,0,9,1.0819008072126788
smith,0,9,1.0819008072126788
ll,0,9,1.0819008072126788
reporters,0,9,1.0819008072126788
continued,0,9,1.0819008072126788
high,0,9,1.0819008072126788
either,0,9,1.0819008072126788
arrested,0,9,1.0819008072126788
powerful,0,9,1.0819008072126788
turkey,0,9,1.0819008072126788
al-nusra,0,9,1.0819008072126788
ballots,0,9,1.0819008072126788
abortion,0,9,1.0819008072126788
having,0,9,1.0819008072126788
final,0,9,1.0819008072126788
ran,0,9,1.0819008072126788
hundreds,0,9,1.0819008072126788
ever,0,9,1.0819008072126788
soldiers,0,9,1.0819008072126788
another,0,9,1.0819008072126788
pennsylvania,0,9,1.0819008072126788
shamdasani,0,8,1.0759563960578291
vice,0,8,1.0759563960578291
humanitarian,0,8,1.0759563960578291
millions,0,8,1.0759563960578291
borders,0,8,1.0759563960578291
operation,0,8,1.0759563960578291
al-assad,0,8,1.0759563960578291
head,0,8,1.0759563960578291
start,0,8,1.0759563960578291
various,0,8,1.0759563960578291
ensure,0,8,1.0759563960578291
efforts,0,8,1.0759563960578291
boys,0,8,1.0759563960578291
announced,0,8,1.0759563960578291
ties,0,8,1.0759563960578291
enforcement,0,8,1.0759563960578291
corporate,0,8,1.0759563960578291
turned,0,8,1.0759563960578291
build,0,8,1.0759563960578291
sides,0,8,1.0759563960578291
weeks,0,8,1.0759563960578291
nixon,0,8,1.0759563960578291
pressure,0,8,1.0759563960578291
ago,0,8,1.0759563960578291
urged,0,8,1.0759563960578291
isf,0,8,1.0759563960578291
red,0,8,1.0759563960578291
six,0,8,1.0759563960578291
proposed,0,8,1.0759563960578291
try,0,8,1.0759563960578291
responded,0,8,1.0759563960578291
noted,0,8,1.0759563960578291
effort,0,8,1.0759563960578291
running,0,8,1.0759563960578291
video,0,8,1.0759563960578291
battle,0,8,1.0759563960578291
local,0,8,1.0759563960578291
crowd,0,8,1.0759563960578291
wall,0,8,1.0759563960578291
community,0,8,1.0759563960578291
believed,0,8,1.0759563960578291
taken,0,8,1.0759563960578291
individuals,0,8,1.0759563960578291
plan,0,8,1.0759563960578291
toward,0,8,1.0759563960578291
official,0,8,1.0759563960578291
water,0,8,1.0759563960578291
simply,0,8,1.0759563960578291
arab,0,8,1.0759563960578291
hampshire,0,8,1.0759563960578291
opposed,0,8,1.0759563960578291
ready,0,8,1.0759563960578291
d,0,8,1.0759563960578291
sigar,0,8,1.0759563960578291
lead,0,8,1.0759563960578291
bashar,0,8,1.0759563960578291
conflict,0,8,1.0759563960578291
transition,0,8,1.0759563960578291
north,0,8,1.0759563960578291
jihadists,0,8,1.0759563960578291
best,0,8,1.0759563960578291
released,0,8,1.0759563960578291
tell,0,8,1.0759563960578291
electorate,0,8,1.0759563960578291
losing,0,8,1.0759563960578291
death,0,8,1.0759563960578291
july,0,8,1.0759563960578291
aid,0,8,1.0759563960578291
main,0,8,1.0759563960578291
fighters,0,8,1.0759563960578291
member,0,8,1.0759563960578291
program,0,8,1.0759563960578291
gay,0,8,1.0759563960578291
loved,0,8,1.0759563960578291
didn,0,8,1.0759563960578291
helped,0,8,1.0759563960578291
hidden,0,8,1.0759563960578291
human,0,8,1.0759563960578291
presidency,0,8,1.0759563960578291
refugees,0,8,1.0759563960578291
crimes,0,8,1.0759563960578291
asked,0,8,1.0759563960578291
child,0,8,1.0759563960578291
commander,0,8,1.0759563960578291
electricity,0,8,1.0759563960578291
amnesty,0,8,1.0759563960578291
corruption,0,8,1.0759563960578291
food,0,8,1.0759563960578291
happen,0,8,1.0759563960578291
migrants,0,8,1.0759563960578291
wilcox,0,8,1.0759563960578291
supreme,0,8,1.0759563960578291
dnc,0,8,1.0759563960578291
coalition,0,8,1.0759563960578291
decades,0,8,1.0759563960578291
arizona,0,8,1.0759563960578291
expected,0,8,1.0759563960578291
california,0,8,1.0759563960578291
prime,0,8,1.0759563960578291
calls,0,8,1.0759563960578291
jewish,0,8,1.0759563960578291
raised,0,8,1.0759563960578291
different,0,8,1.0759563960578291
mission,0,7,1.0688389662272018
opportunity,0,7,1.0688389662272018
gun,0,7,1.0688389662272018
stand,0,7,1.0688389662272018
elect,0,7,1.0688389662272018
launched,0,7,1.0688389662272018
leading,0,7,1.0688389662272018
signed,0,7,1.0688389662272018
maher,0,7,1.0688389662272018
surprise,0,7,1.0688389662272018
turn,0,7,1.0688389662272018
blue,0,7,1.0688389662272018
prior,0,7,1.0688389662272018
gov,0,7,1.0688389662272018
projectiles,0,7,1.0688389662272018
primary,0,7,1.0688389662272018
fund,0,7,1.0688389662272018
relationship,0,7,1.0688389662272018
reason,0,7,1.0688389662272018
light,0,7,1.0688389662272018
pushed,0,7,1.0688389662272018
whom,0,7,1.0688389662272018
cohen,0,7,1.0688389662272018
michael,0,7,1.0688389662272018
stunning,0,7,1.0688389662272018
radio,0,7,1.0688389662272018
ms,0,7,1.0688389662272018
impact,0,7,1.0688389662272018
laws,0,7,1.0688389662272018
african,0,7,1.0688389662272018
egyptian,0,7,1.0688389662272018
oil,0,7,1.0688389662272018
values,0,7,1.0688389662272018
believes,0,7,1.0688389662272018
known,0,7,1.0688389662272018
problems,0,7,1.0688389662272018
trying,0,7,1.0688389662272018
honor,0,7,1.0688389662272018
abuse,0,7,1.0688389662272018
speech,0,7,1.0688389662272018
something,0,7,1.0688389662272018
base,0,7,1.0688389662272018
cnn,0,7,1.0688389662272018
advantage,0,7,1.0688389662272018
meant,0,7,1.0688389662272018
northern,0,7,1.0688389662272018
figure,0,7,1.0688389662272018
shut,0,7,1.0688389662272018
class,0,7,1.0688389662272018
accept,0,7,1.0688389662272018
pool,0,7,1.0688389662272018
minnesota,0,7,1.0688389662272018
speak,0,7,1.0688389662272018
find,0,7,1.0688389662272018
parties,0,7,1.0688389662272018
hard,0,7,1.0688389662272018
david,0,7,1.0688389662272018
trail,0,7,1.0688389662272018
large,0,7,1.0688389662272018
ghost,0,7,1.0688389662272018
conditions,0,7,1.0688389662272018
pope,0,7,1.0688389662272018
reforms,0,7,1.0688389662272018
represents,0,7,1.0688389662272018
carried,0,7,1.0688389662272018
sulphur,0,7,1.0688389662272018
knows,0,7,1.0688389662272018
certainly,0,7,1.0688389662272018
fight,0,7,1.0688389662272018
experts,0,7,1.0688389662272018
prince,0,7,1.0688389662272018
liberals,0,7,1.0688389662272018
immigrants,0,7,1.0688389662272018
seven,0,7,1.0688389662272018
old,0,7,1.0688389662272018
remain,0,7,1.0688389662272018
choice,0,7,1.0688389662272018
chlorine,0,7,1.0688389662272018
spokesman,0,7,1.0688389662272018
martin,0,7,1.0688389662272018
terror,0,7,1.0688389662272018
small,0,7,1.0688389662272018
attacks,0,7,1.0688389662272018
protect,0,7,1.0688389662272018
vision,0,7,1.0688389662272018
add,0,7,1.0688389662272018
refused,0,7,1.0688389662272018
tower,0,7,1.0688389662272018
sales,0,7,1.0688389662272018
qualified,0,7,1.0688389662272018
army,0,7,1.0688389662272018
mr,0,7,1.0688389662272018
huge,0,7,1.0688389662272018
perhaps,0,7,1.0688389662272018
rest,0,7,1.0688389662272018
companies,0,7,1.0688389662272018
raise,0,7,1.0688389662272018
bodies,0,7,1.0688389662272018
throughout,0,7,1.0688389662272018
burning,0,7,1.0688389662272018
apprehensions,0,7,1.0688389662272018
source,0,7,1.0688389662272018
tpp,0,7,1.0688389662272018
hate,0,7,1.0688389662272018
closed,0,7,1.0688389662272018
site,0,7,1.0688389662272018
live,0,7,1.0688389662272018
veterans,0,7,1.0688389662272018
nuclear,0,7,1.0688389662272018
constitution,0,7,1.0688389662272018
saturday,0,7,1.0688389662272018
sign,0,7,1.0688389662272018
commit,0,7,1.0688389662272018
recently,0,7,1.0688389662272018
